provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t3_ran,t3_publish_tentative,t3_needs_followup,t3_bayes_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,n_bands,baseline_hr,bands_used
2018 TU60,2026-03-20T11:34:41.407322+00:00,True,2.0987993996998497,0.46630130997898406,9.239239894962184,494,,True,False,2.098532844281427,4.197065688562854,2.0952619077384673,4.197065688562854,124.2100452512117,1.1102230246251565e-16,0.7114214719120882,True,0.0015611110624778445,False,,,,,,,,,4.197065688562854,0.006552085676361663,confirmed,3,289.03833333333023,"Lg,Li,Lr"
2025 MN45,2026-03-20T11:34:42.739617+00:00,False,3.4742371185592797,0.02067440511544498,13.04471788004889,495,GLS power=0.021 too low — no periodic signal,,,,,,,,,,,,False,,,,,,,,,,,,3,289.0988888888969,"Lg,Li,Lr"
2025 MY41,2026-03-20T11:34:44.101199+00:00,False,19.344672336168085,0.04728152648039916,5.99099092682119,495,GLS power=0.047 too low — no periodic signal,,,,,,,,,,,,False,,,,,,,,,,,,3,216.6694444444729,"Lg,Li,Lr"
2025 ME27,2026-03-20T11:35:06.867297+00:00,True,15.54752376188094,0.08279727905634611,7.8606286536240235,486,,False,True,15.34911637212404,34.161720573524505,15.271596449556196,15.34911637212404,13.682023534074991,1.420576989374922e-10,0.691735321518914,False,1.2256473757385367,True,0.0,1.0,34.161720573524505,12.381962772429159,34.14501801603879,34.17842313101022,0.03340511497143339,3.6310209653085472,,,followup_needed,3,288.82638888893416,"Lg,Li,Lr"
2025 MC53,2026-03-20T11:34:59.243008+00:00,True,19.955977988994498,0.6039783160459608,13.77892416453113,504,,False,True,18.67939313104368,39.92897632544181,19.6372671583948,19.6372671583948,129.12864941456996,1.1102230246251565e-16,0.9783036156817102,False,1.0333265318118061,True,False,True,39.92897632544181,29.950744339529006,39.89624172051874,39.96171093036488,0.06546920984613891,3.560339743463606,,,followup_needed,3,288.88750000001164,"Lg,Li,Lr"
2025 MN12,2026-03-20T11:35:22.545379+00:00,True,15.853176588294147,0.05448929671326284,6.784137757919784,503,,False,True,1.408969656552184,24.946648882960986,9.31653956744593,9.31653956744593,9.018334173582005,4.879236618071658e-07,0.7055503268236575,False,1.6776732608025913,True,False,True,24.946648882960986,8.338147117888065,24.927953485835676,24.965344280086295,0.037390794250621084,1.0507973281401806,,,followup_needed,3,288.96833333338145,"Lg,Li,Lr"
2014 QH289,2026-03-20T11:35:28.389680+00:00,True,17.58129064532266,0.30464223326161033,8.895584337926401,501,,True,False,17.71557185728576,35.462487495831944,18.31522690336292,35.462487495831944,62.02405421460864,1.1102230246251565e-16,0.6137953193169217,True,0.03188511715023878,False,,,,,,,,,35.462487495831944,1.1307255682434794,confirmed,3,289.14722222217824,"Lg,Li,Lr"
2025 MY16,2026-03-20T11:35:50.552099+00:00,True,16.72311155577789,0.18377925300035786,7.885524437746601,498,,False,True,19.580526842280758,19.571190396798933,13.820290036254532,19.571190396798933,28.43354593028074,1.1102230246251565e-16,0.8950070236842392,False,0.29384520021248817,True,False,True,19.571190396798933,11.056232029003626,19.54739249761068,19.594988295987186,0.04759579837650563,1.1645760688479796,,,followup_needed,3,288.88750000001164,"Lg,Li,Lr"
2025 MF21,2026-03-20T11:35:30.236556+00:00,True,5.649074537268635,0.09098913245594487,7.447323865602754,485,,False,True,5.663887962654218,2.8977992664221404,7.468621077634705,5.663887962654218,12.930379446208226,5.249215506708538e-10,0.8117583013507002,False,0.48837277758145153,True,False,True,2.8977992664221404,5.6222138706213105,2.8876271909323377,2.907971341911943,0.020344150979605402,2.22004997158892,,,followup_needed,3,288.96833333338145,"Lg,Li,Lr"
2019 NP88,2026-03-20T11:35:52.114114+00:00,True,2.0870435217608803,0.12619151441697976,9.79751468773117,483,,False,True,2.082860953651217,4.165721907302434,9.578009751218902,4.165721907302434,21.61733030819382,2.220446049250313e-16,0.5780533665761389,False,1.2992436759706711,True,False,True,4.165721907302434,4.151789727010452,4.157362599127245,4.174081215477623,0.016718616350377413,2.002971365920142,,,followup_needed,3,288.8641666666372,"Lg,Li,Lr"
