provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t3_ran,t3_publish_tentative,t3_needs_followup,t3_adopted_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,r_code,r_flag,alias_risk,alias_note,lcdb_agreement,lcdb_delta_pct,reliability_notes,period_exceeds_grid,n_cycles,regime,n_nights,n_seasons,obs_per_night_median,night_duration_hr,reliability_ceiling,recommended_methods,lcdb_period_hr,lcdb_u_code,n_bands,baseline_hr,bands_used
2025 MA19,2026-03-20T18:12:08.344964+00:00,True,5.458454227113556,0.6914710517573004,19.22067642616512,427,,True,False,8.881260420140046,8.883261087029009,8.881260420140046,8.881260420140046,224.79826554388157,1.1102230246251565e-16,1.4992127612408794,True,0.0002252683509229567,False,,,,,,,,,8.881260420140046,0.002000666888962274,confirmed,3,3,False,,no_prior,,"All 3 methods agree (spread=0.0%), p=1.11e-16, dense regime. High confidence.",False,24.4,dense,6,1,67.5,2.8320833333709743,high,"gls,mbls,mhaov,ce,clean",,0,3,216.81055555556668,"Lg,Li,Lr"
2025 MA45,2026-03-20T18:12:09.672542+00:00,True,0.790065032516258,0.6313791952704834,17.085037659347826,119,,True,False,1.6338646215405135,3.267729243081027,1.6338646215405135,3.267729243081027,60.99355720709613,1.1102230246251565e-16,1.0251022595608694,True,0.0,False,,,,,,,,,3.267729243081027,0.0,confirmed,2,2,False,,no_prior,,"All 3 methods agree (spread=0.0%), p=1.11e-16, sparse regime. Moderate confidence.",False,88.5,sparse,7,1,16.0,2.360000000044238,medium,"mbls,mhaov,clean",,0,3,289.0527777778334,"Lg,Li,Lr"
2025 MA46,2026-03-20T18:12:11.351866+00:00,True,2.93824412206103,0.3812745416516644,9.902095829302409,289,,True,False,5.873511170390129,5.873511170390129,5.873511170390129,5.873511170390129,59.879709525093254,1.1102230246251565e-16,1.2377619786628011,True,0.0,False,,,,,,,,,5.873511170390129,0.0,confirmed,3,3,False,,no_prior,,"All 3 methods agree (spread=0.0%), p=1.11e-16, dense regime. High confidence.",False,49.2,dense,7,1,25.0,2.6561111112241633,high,"gls,mbls,mhaov,ce,clean",,0,3,289.0527777778334,"Lg,Li,Lr"
2025 MC34,2026-03-20T18:12:19.450100+00:00,True,5.074422211105552,0.38275977728635097,11.929064537658844,302,,False,True,10.15315438479493,8.37130376792264,10.15315438479493,10.15315438479493,61.32007451456405,1.1102230246251565e-16,1.3300906959489611,False,0.17549724443672035,True,0.0,1.0,8.37130376792264,8.9480558000939,8.354505165043866,8.388102370801414,0.03359720575754821,1.0789872590182605,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,25.0,2.432500000228174,high,"gls,mbls,mhaov,ce,clean",,0,3,289.1241666666465,"Lg,Li,Lr"
2025 MD38,2026-03-20T18:12:23.407570+00:00,True,3.394282141070535,0.3001709787647203,20.140461392538114,425,,True,False,4.753604534844948,9.491210403467822,4.753604534844948,9.491210403467822,110.56711193327176,1.1102230246251565e-16,1.7723606025433538,True,0.0016827931420040534,False,,,,,,,,,9.491210403467822,0.015971743776273174,confirmed,3,3,False,,no_prior,,"All 3 methods agree (spread=0.2%), p=1.11e-16, dense regime. High confidence.",False,30.5,dense,7,1,40.0,2.653888889006339,high,"gls,mbls,mhaov,ce,clean",,0,3,289.11111111118225,"Lg,Li,Lr"
2025 MD40,2026-03-20T18:12:37.362881+00:00,True,2.0021660830415207,0.565512090676169,9.818508863899838,389,,False,True,4.3696365455151716,4.003667889296432,4.3696365455151716,4.3696365455151716,129.8979136687282,1.1102230246251565e-16,1.276406152306979,False,0.08375265366046793,True,False,True,4.003667889296432,3.4493138738553877,3.9982810769699153,4.009054701622949,0.010773624653033664,2.2116187075141815,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,33.0,2.714166666730307,high,"gls,mbls,mhaov,ce,clean",,0,3,289.1594444444636,"Lg,Li,Lr"
2025 MD67,2026-03-20T18:12:44.129505+00:00,True,2.6142171085542767,0.5748361712353341,14.55782075312288,210,,False,True,23.36005335111704,2.929756585528509,23.36005335111704,23.36005335111704,98.98644563591519,1.1102230246251565e-16,0.844353603681127,False,0.8745826243847475,True,False,True,2.929756585528509,2.36340230243972,2.903107970215269,2.956405200841749,0.053297230626480285,2.4802941175605016,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,3,1,68.0,2.9500000000116415,high,"gls,mbls,mhaov,ce,clean",,0,3,50.7677777778008,"Lg,Li,Lr"
2025 MD76,2026-03-20T18:12:53.516220+00:00,True,4.462371185592795,0.4947820614011198,12.629583913318083,386,,False,True,4.457629209736578,10.99508502834278,4.457629209736578,4.457629209736578,116.66062927783925,1.1102230246251565e-16,1.1998104717652178,False,1.4665768530781553,True,False,True,10.99508502834278,4.4665742850738415,10.973021312566845,11.017148744118716,0.044127431551871155,4.920693126456955,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,36.0,2.714166666730307,high,"gls,mbls,mhaov,ce,clean",,0,3,288.9563888889388,"Lg,Li,Lr"
2025 ME15,2026-03-20T18:13:00.784694+00:00,True,4.342361180590294,0.4220475497483257,19.35258560669821,324,,False,True,7.34538846282094,8.067329109703234,7.34538846282094,7.34538846282094,69.64657960337333,1.1102230246251565e-16,1.683674947782744,False,0.09828488316667468,True,False,True,8.067329109703234,6.092496116319709,8.057245547847053,8.077412671559415,0.02016712371236018,1.882107054811904,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,22.0,2.141111110977363,high,"gls,mbls,mhaov,ce,clean",,0,3,288.9922222222667,"Lg,Li,Lr"
2025 ME24,2026-03-20T18:13:10.434572+00:00,True,1.462121060530265,0.25321378619012946,7.6689664346197945,361,,False,True,2.617782594198066,2.769769923307769,2.617782594198066,2.617782594198066,48.58271263119837,1.1102230246251565e-16,0.9739587371967139,False,0.0580595689827348,True,False,True,2.769769923307769,2.1047322262381774,2.766631646446251,2.772908200169287,0.006276553723036038,1.2674321754099942,,,followup_needed,0,0,False,,no_prior,,No reliable period. Methods disagree at Tier 2 and Tier 3 could not resolve ambiguity. More observations needed.,False,,dense,7,1,30.0,2.667777777824085,high,"gls,mbls,mhaov,ce,clean",,0,3,288.85222222219454,"Lg,Li,Lr"
