provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_mbls_fap,t2_mbls_band_support_frac,t2_mbls_n_bands_supporting,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t2_mbls_top_periods,t2_mbls_top_powers,t3_ran,t3_publish_tentative,t3_needs_followup,t3_adopted_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,r_code,r_flag,alias_risk,alias_note,window_alias_risk,window_alias_note,lcdb_agreement,lcdb_delta_pct,reliability_notes,period_exceeds_grid,n_cycles,regime,n_nights,n_seasons,obs_per_night_median,night_duration_hr,reliability_ceiling,recommended_methods,lcdb_period_hr,lcdb_u_code,n_bands,baseline_hr,bands_used
2025 MA19,2026-03-23T01:00:23.179275+00:00,True,5.460980490245123,0.688592126164036,19.219711583128557,426,,True,False,4.437963275054737,4.437963275054737,,4.437963275054737,225.2743249543627,1.1102230246251565e-16,0.0,1.0,3,1.4991375034840275,mbls_confirmed,0.0,4.4369|5.4577|10.9203|8.8777|14.1609,0.783549|0.752523|0.735064|0.706060|0.667773,False,,,,,,,,,4.437963275054737,0.0,confirmed,3,3,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=0.0%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence.",False,48.9,dense,6,1,67.5,2.8320168054196984,high,"gls,mbls,mhaov,ce,clean",,0,3,216.81066972215194,"Lg,Li,Lr"
2025 MA45,2026-03-23T01:00:54.260264+00:00,True,0.8452797322348641,0.7233714332897729,17.08503775692257,119,,True,False,0.8453406001427419,1.6329561610139791,,1.6329561610139791,82.54847106379512,1.1102230246251565e-16,0.0,1.0,3,1.025102265415354,mbls_confirmed,0.48232498806439933,0.8168|0.8453|1.6911|0.7896|1.5791,0.828314|0.823391|0.802241|0.785232|0.771584,False,,,,,,,,,1.6329561610139791,0.7876155608707548,confirmed,2,2,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=48.2%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000), sparse regime. Moderate confidence.",False,177.0,sparse,7,1,16.0,2.3601649999036454,medium,"mbls,mhaov,clean",,0,3,289.05278888874454,"Lg,Li,Lr"
2025 MA46,2026-03-23T01:01:26.888212+00:00,True,2.9334667333666835,0.3996564758769763,9.902096072672652,289,,True,False,5.874518811036551,11.739652016652139,,11.739652016652139,60.088644567022826,1.1102230246251565e-16,0.0,1.0,3,1.2377620090840815,mbls_confirmed,0.4996002604928728,2.9331|2.6111|5.2217|2.3535|3.3442,0.548541|0.543025|0.530414|0.476908|0.469818,False,,,,,,,,,11.739652016652139,5.865133205615088,confirmed,-1,-1-alias,True,"0.5-day alias (12.0hr, Δ=2.2%)",True,cadence alias: period 11.740hr sits on window peak (contamination=0.98 > 0.5). This alias arises from the specific observation gaps for this asteroid — not in fixed daily/annual list.,no_prior,,"Period 11.740hr is close to known alias: 0.5-day alias (12.0hr, Δ=2.2%). Independent confirmation required.",False,24.6,dense,7,1,25.0,2.6560127777047455,high,"gls,mbls,mhaov,ce,clean",,0,3,289.05278888874454,"Lg,Li,Lr"
2025 MC34,2026-03-23T01:01:55.198255+00:00,True,5.07303651825913,0.3827552487139207,11.869129139876188,301,,True,False,10.15458909950648,8.36955954423189,,8.36955954423189,60.571349464764296,1.1102230246251565e-16,0.0,1.0,3,1.329342463666133,mbls_sig_only,0.21327640311784113,10.1524|4.1855|5.0831|3.5603|7.1188,0.633788|0.680408|0.627918|0.614493|0.528960,False,,,,,,,,,8.36955954423189,1.7850295552743753,confirmed,2,2-cadence_alias_soft,False,,True,cadence alias: period 8.370hr sits on window peak (contamination=0.64 > 0.5). This alias arises from the specific observation gaps for this asteroid — not in fixed daily/annual list.,no_prior,,"MBLS significant (FAP=0.0000) — multi-band evidence. MHAOV (p=1.11e-16) does not confirm this period; single-band series less sensitive. Period adopted from MBLS. Moderate confidence (R=2, no independent confirmation). [R capped at 2: consensus period has window contamination=0.64]",False,34.5,dense,7,1,24.0,2.432423888705671,high,"gls,mbls,mhaov,ce,clean",,0,3,289.1241358334664,"Lg,Li,Lr"
2025 MD38,2026-03-23T01:02:30.240959+00:00,True,3.3919459729864934,0.3082557215498307,20.140464052174362,425,,True,False,4.753830371329037,9.489176730465477,,9.489176730465477,110.47587229920232,1.1102230246251565e-16,0.0,1.0,3,1.7723608365913437,mbls_confirmed,0.4990260476372913,3.9584|4.7421|9.5061|3.3965|5.9202,0.773231|0.778750|0.656206|0.550027|0.718818,False,,,,,,,,,9.489176730465477,4.735346359135941,confirmed,3,3,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=49.9%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence.",False,30.5,dense,7,1,40.0,2.65399194433121,high,"gls,mbls,mhaov,ce,clean",,0,3,289.1112744442653,"Lg,Li,Lr"
2025 MD40,2026-03-23T01:03:23.029788+00:00,True,2.0031146949429064,0.5731014877063795,9.819942455010585,388,,True,False,4.369922274759659,8.006291847954103,,8.006291847954103,132.12597539770636,1.1102230246251565e-16,0.0,1.0,3,1.276592519151376,mbls_confirmed,0.45418898564423593,4.0031|4.3699|2.0028|2.1858|1.8482,0.657631|0.634880|0.646771|0.642583|0.602547,False,,,,,,,,,8.006291847954103,3.636369573193989,confirmed,2,2-cadence_alias_soft,False,,True,cadence alias: period 8.006hr sits on window peak (contamination=0.88 > 0.5). This alias arises from the specific observation gaps for this asteroid — not in fixed daily/annual list.,no_prior,,"MHAOV confirms MBLS period (spread=45.4%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence. [R capped at 2: consensus period has window contamination=0.88]",False,36.1,dense,7,1,32.0,2.7141311108716764,high,"gls,mbls,mhaov,ce,clean",,0,3,289.15962249966105,"Lg,Li,Lr"
2025 MD67,2026-03-23T01:03:40.826892+00:00,True,2.921710855427714,0.574407033516501,14.55782049822876,210,,True,False,11.68560973475491,5.867253320366812,,5.867253320366812,99.50039637082793,1.1102230246251565e-16,0.0,1.0,3,0.8443535888972681,mbls_confirmed,0.9916661334853276,2.9336|3.3341|2.6172|6.7201|5.2554,0.803601|0.779102|0.749179|0.695522|0.691490,False,,,,,,,,,5.867253320366812,5.8183564143871065,confirmed,2,2-cadence_alias_soft,False,,True,cadence alias: period 5.867hr sits on window peak (contamination=0.84 > 0.5). This alias arises from the specific observation gaps for this asteroid — not in fixed daily/annual list.,no_prior,,"MHAOV confirms MBLS period (spread=99.2%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence. [R capped at 2: consensus period has window contamination=0.84]",False,8.7,dense,3,1,68.0,2.950031944666989,high,"gls,mbls,mhaov,ce,clean",,0,3,50.767665555293206,"Lg,Li,Lr"
2025 MD76,2026-03-23T01:04:12.826122+00:00,True,4.461730865432717,0.4933583135227923,12.629583239429838,386,,True,False,4.462037379500837,10.98972675149476,,10.98972675149476,123.5641583018246,1.1102230246251565e-16,0.0,1.0,3,1.1998104077458347,mbls_sig_only,0.5939810442607657,5.4935|4.4661|14.2955|8.9383|10.9911,0.710743|0.678481|0.647981|0.644487|0.665912,False,,,,,,,,,10.98972675149476,6.52768937199333,confirmed,2,2,False,,False,,no_prior,,"MBLS significant (FAP=0.0000) — multi-band evidence. MHAOV (p=1.11e-16) does not confirm this period; single-band series less sensitive. Period adopted from MBLS. Moderate confidence (R=2, no independent confirmation).",False,26.3,dense,7,1,36.0,2.7141311108716764,high,"gls,mbls,mhaov,ce,clean",,0,3,288.95625111070694,"Lg,Li,Lr"
2025 ME15,2026-03-23T01:04:44.778982+00:00,True,4.344172086043022,0.4209036816931544,19.323227513850235,323,,True,False,7.344154203806814,4.034199852657756,,4.034199852657756,69.94683811545143,1.1102230246251565e-16,0.0,1.0,3,1.6811207937049704,mbls_confirmed,0.8204735689947583,3.4488|3.0134|4.0320|6.8971|2.6752,0.851763|0.812420|0.873983|0.827150|0.726255,False,,,,,,,,,4.034199852657756,3.3099543511482374,confirmed,3,3,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=82.0%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence.",False,71.6,dense,7,1,21.0,2.1410327775520273,high,"gls,mbls,mhaov,ce,clean",,0,3,288.99222000018926,"Lg,Li,Lr"
2025 ME24,2026-03-23T01:05:36.464443+00:00,True,1.3087063393151306,0.3513619432661568,7.6689664832044615,361,,True,False,2.617589885299203,1.3842717632808517,,1.3842717632808517,48.66244557061196,1.1102230246251565e-16,0.0,1.0,3,0.9739587433669666,mbls_confirmed,0.8909508629247647,2.7687|1.3843|2.9388|2.6171|1.4691,0.371999|0.372463|0.360163|0.359369|0.359987,False,,,,,,,,,1.3842717632808517,1.2333181220174603,confirmed,2,2,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=89.1%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence.",False,208.7,dense,7,1,30.0,2.6677033334271982,high,"gls,mbls,mhaov,ce,clean",,0,3,288.8520455552498,"Lg,Li,Lr"
